ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1004,CQA,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1012,CQA,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1017,CQA,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1019,CQB,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1032,CQB,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1046,CQB,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,1050,CQB,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,9005,CZZ,Departamental,9600,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,9007,CZZ,Departamental,9600,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,6,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,7,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,10,CAA,Departamental,2828,3
2024-06-30,Basta_Ya_O.D.D.,Canelones,11,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,12,CAA,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,13,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,14,CAA,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,15,CAA,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,16,CAA,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,17,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,18,CAA,Departamental,2828,3
2024-06-30,Basta_Ya_O.D.D.,Canelones,19,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,28,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,29,CAA,Departamental,2828,2
2024-06-30,Basta_Ya_O.D.D.,Canelones,30,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,36,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,42,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,46,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,48,CAA,Departamental,2828,1
2024-06-30,Basta_Ya_O.D.D.,Canelones,50,CAA,Departamental,2828,1
